"manufacturer","model","series","loadCapacity","liftingSpeed","motorPower","classification","url","scrapedFrom","confidence","id","lastUpdated","createdDate","updateCount","images","videos","scrapedAt","createdAt","quietOperation","_enrichedFields","dutyCycle","weight","dimensions","voltageOptions","certifications","protectionClass","noiseLevel","brakeType","chainSpecification","operatingTemperature","applications","safetyFeatures","_pdfEnriched","_pdfEnrichedAt","liftingOverPeople","dynamicLifting","rawSpecifications","downloadedImages","pdfs","downloadedPDFs","features","llmEnriched","llmEnrichedAt","llmProvider","description","warranty","airConsumption","operatingPressure"
"Kito","ER2","ER2","250-5000 kg","2.5-8 m/min","0.4-3.7 kW","d8","https://www.kito.com","known-data",0.9,"kito-er2","2026-01-19T10:48:11.776Z",,,"","","2026-01-19T10:48:11.776Z","2026-01-08T20:53:03.935Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kito","EQ","EQ","500-20000 kg","1.25-5 m/min","0.3-2.2 kW","d8","https://www.kito.com","known-data",0.9,"kito-eq","2026-01-19T10:48:11.776Z",,,"","","2026-01-19T10:48:11.776Z","2026-01-08T20:53:03.935Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hitachi Industrial Equipment","Electric Chain Hoist","Standard","250-5000 kg","2.5-8 m/min","0.25-0.37 kW (estimated)","d8, jis","https://www.hitachi-ies.com","known-data",0.9,"hitachi-electric-chain-hoist","2026-01-15T22:42:50.414Z",,,"","","2026-01-17T18:12:31.351Z","2026-01-08T20:53:16.593Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLANETA-Hebetechnik","ATEX hoists",,"Not clearly visible","Not visible","",,"https://www.planeta-hebetechnik.eu/en/lifting-technology/atex-hoists/","https://www.planeta-hebetechnik.eu/en/lifting-technology/atex-hoists/",0.7,"planeta-atex-hoists","2026-01-19T10:50:43.701Z",,,"https://www.planeta-hebetechnik.eu/wp-content/themes/planeta/assets/images/planeta-logo-blue.svg; https://www.planeta-hebetechnik.eu/wp-content/uploads/2024/09/ATEX_PRE324_detail.jpg; https://www.planeta-hebetechnik.eu/wp-content/uploads/2025/04/PRE-II104-EX_G10362_Detail.jpg; https://www.planeta-hebetechnik.eu/wp-content/uploads/2024/09/LST-H-EX_500.jpg; https://www.planeta-hebetechnik.eu/wp-content/uploads/2024/09/LST-G-EX_2000.jpg; https://www.planeta-hebetechnik.eu/wp-content/uploads/2024/09/LHT-H-EX_500.jpg; https://www.planeta-hebetechnik.eu/wp-content/uploads/2024/09/LHT-G-EX_500.jpg; https://www.planeta-hebetechnik.eu/wp-content/uploads/2025/12/Rainer_Nuesken_588-563x800.jpg; https://www.planeta-hebetechnik.eu/wp-content/themes/planeta/assets/images/loading.gif; https://www.planeta-hebetechnik.eu/wp-content/uploads/2025/07/praezise-technik-1200x800.webp","","2026-01-19T10:50:33.286Z","2026-01-08T20:54:40.916Z",,,,"Not visible","Not visible",,,,,,,,,"[""Safety hook with spring-loaded latch"",""Load brake mechanism"",""CE marking visible on product label""]",,,,,"{}","[{""url"":""https://www.planeta-hebetechnik.eu/wp-content/themes/planeta/assets/images/planeta-logo-blue.svg"",""alt"":""Planeta Hebetechnik Logo"",""title"":"""",""localPath"":""chainhoist_data\\media\\images\\planeta_atex-hoists_0.svg""},{""url"":""https://www.planeta-hebetechnik.eu/wp-content/uploads/2024/09/ATEX_PRE324_detail.jpg"",""alt"":"""",""title"":"""",""localPath"":""chainhoist_data\\media\\images\\planeta_atex-hoists_1.jpg""},{""url"":""https://www.planeta-hebetechnik.eu/wp-content/uploads/2025/04/PRE-II104-EX_G10362_Detail.jpg"",""alt"":"""",""title"":"""",""localPath"":""chainhoist_data\\media\\images\\planeta_atex-hoists_2.jpg""}]","[{""url"":""https://www.planeta-hebetechnik.eu/en/downloads/"",""type"":""document"",""title"":""Downloads""}]","[{""url"":""https://www.planeta-hebetechnik.eu/en/downloads/"",""type"":""document"",""title"":""Downloads"",""localPath"":""chainhoist_data\\media\\pdfs\\planeta_atex-hoists_document_0.pdf""}]","[""Manual lever operation"",""Steel chain"",""Safety hook with latch"",""Compact aluminum body construction"",""Hand grip on operating lever""]",true,"2026-01-16T08:23:12.375Z","claude",,,,
"PLANETA-Hebetechnik","s & wire rope hoists",,"3.2T",,"0.18-0.25 kW (estimated)",,"https://www.planeta-hebetechnik.eu/en/lifting-technology/electric-chain-hoists-wire-rope-hoists/","https://www.planeta-hebetechnik.eu/en/lifting-technology/electric-chain-hoists-wire-rope-hoists/",0.8,"planeta-s-wire-rope-hoists","2026-01-19T10:50:43.701Z",,,"https://www.planeta-hebetechnik.eu/wp-content/themes/planeta/assets/images/planeta-logo-blue.svg; https://www.planeta-hebetechnik.eu/wp-content/uploads/2025/04/PWRH_kurze_Bauart_2025.jpg; https://www.planeta-hebetechnik.eu/wp-content/uploads/2025/04/PF10S1-1000_1.jpg; https://www.planeta-hebetechnik.eu/wp-content/uploads/2025/04/PITCH-K_1.jpg; https://www.planeta-hebetechnik.eu/wp-content/uploads/2025/04/PITCH-S.jpg; https://www.planeta-hebetechnik.eu/wp-content/uploads/2025/04/PEH250_1-straengig.jpg; https://www.planeta-hebetechnik.eu/wp-content/uploads/2025/04/PEH-R_500.jpg; https://www.planeta-hebetechnik.eu/wp-content/uploads/2025/04/PEH-D8plus_250.jpg; https://www.planeta-hebetechnik.eu/wp-content/uploads/2025/04/PEH-KH-Lift.jpg; https://www.planeta-hebetechnik.eu/wp-content/uploads/2025/04/PEH-HT500.jpg","","2026-01-19T10:50:38.632Z","2026-01-08T20:54:40.916Z",,,,,,,,,,,,,,"[""Safety hook with latch"",""Load block assembly""]",,,,,"{}","[{""url"":""https://www.planeta-hebetechnik.eu/wp-content/themes/planeta/assets/images/planeta-logo-blue.svg"",""alt"":""Planeta Hebetechnik Logo"",""title"":"""",""localPath"":""chainhoist_data\\media\\images\\planeta_s-wire-rope-hoists_0.svg""},{""url"":""https://www.planeta-hebetechnik.eu/wp-content/uploads/2025/04/PWRH_kurze_Bauart_2025.jpg"",""alt"":"""",""title"":"""",""localPath"":""chainhoist_data\\media\\images\\planeta_s-wire-rope-hoists_1.jpg""},{""url"":""https://www.planeta-hebetechnik.eu/wp-content/uploads/2025/04/PF10S1-1000_1.jpg"",""alt"":"""",""title"":"""",""localPath"":""chainhoist_data\\media\\images\\planeta_s-wire-rope-hoists_2.jpg""}]","[{""url"":""https://www.planeta-hebetechnik.eu/en/downloads/"",""type"":""document"",""title"":""Downloads""}]","[{""url"":""https://www.planeta-hebetechnik.eu/en/downloads/"",""type"":""document"",""title"":""Downloads"",""localPath"":""chainhoist_data\\media\\pdfs\\planeta_s-wire-rope-hoists_document_0.pdf""}]","[""Electric chain hoist"",""Trolley-mounted system"",""Yellow hook block"",""Black load chain"",""Compact design"",""Heavy-duty construction""]",true,"2026-01-16T08:23:29.852Z","claude",,,,
"Yale Hoists","YJL","YJL","250-5000 kg","3-12 m/min","0.25-0.37 kW (estimated)","ansi","https://www.yale.com","known-data",0.9,"yale-yjl","2026-01-19T10:51:46.756Z",,,"","","2026-01-19T10:51:46.756Z","2026-01-08T23:47:16.046Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yale Hoists","YK","YK","500-10000 kg","2-8 m/min","0.37-0.75 kW (estimated)","ansi","https://www.yale.com","known-data",0.9,"yale-yk","2026-01-19T10:51:46.756Z",,,"","","2026-01-19T10:51:46.756Z","2026-01-08T23:47:16.046Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yale Hoists","KEL","KEL","125-3000 kg","4-16 m/min","0.18-0.25 kW (estimated)","d8","https://www.yale.com","known-data",0.9,"yale-kel","2026-01-19T10:51:46.756Z",,,"","","2026-01-19T10:51:46.756Z","2026-01-08T23:47:16.046Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ingersoll Rand","ML Series","ML","250-3000 kg","4-12 m/min","0.25-0.37 kW (estimated)","ansi","https://www.ingersollrand.com","known-data",0.9,"ingersoll-rand-ml-series","2026-01-19T10:52:09.904Z",,,"","","2026-01-19T10:52:09.904Z","2026-01-08T23:47:26.537Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ingersoll Rand","CLK Series","CLK","500-5000 kg","2-8 m/min","0.37-0.75 kW (estimated)","ansi","https://www.ingersollrand.com","known-data",0.9,"ingersoll-rand-clk-series","2026-01-19T10:52:09.904Z",,,"","","2026-01-19T10:52:09.904Z","2026-01-08T23:47:26.537Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coffing Hoists","JLC","JLC","125-3000 kg","8-16 m/min","0.18-0.25 kW (estimated)","ansi","https://www.coffinghoists.com","known-data",0.9,"coffing-jlc","2026-01-19T10:52:21.646Z",,,"","","2026-01-19T10:52:21.646Z","2026-01-08T23:47:38.038Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coffing Hoists","EC","EC","250-5000 kg","4-12 m/min","0.25-0.37 kW (estimated)","ansi","https://www.coffinghoists.com","known-data",0.9,"coffing-ec","2026-01-19T10:52:21.646Z",,,"","","2026-01-19T10:52:21.646Z","2026-01-08T23:47:38.038Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Budgit Hoists","BEH","BEH","250-5000 kg","4-16 m/min","0.25-0.37 kW (estimated)","ansi","https://www.budgithoists.com","known-data",0.9,"budgit-beh","2026-01-19T10:52:33.413Z",,,"","","2026-01-19T10:52:33.413Z","2026-01-08T23:47:49.526Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Budgit Hoists","Man Guard","Man Guard","500-3000 kg","8-12 m/min","0.37-0.75 kW (estimated)","ansi","https://www.budgithoists.com","known-data",0.9,"budgit-man-guard","2026-01-19T10:52:33.413Z",,,"","","2026-01-19T10:52:33.413Z","2026-01-08T23:47:49.526Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R&M Materials Handling","Spacemaster SX","SX","125-5000 kg","4-20 m/min","0.18-0.25 kW (estimated)","d8","https://www.rmhoist.com","known-data",0.9,"rm-materials-spacemaster-sx","2026-01-15T22:46:06.069Z",,,"","","2026-01-15T22:46:06.069Z","2026-01-08T23:48:20.264Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R&M Materials Handling","LK Series","LK","250-2000 kg","8-16 m/min","0.25-0.37 kW (estimated)","d8","https://www.rmhoist.com","known-data",0.9,"rm-materials-lk-series","2026-01-15T22:46:06.069Z",,,"","","2026-01-15T22:46:06.069Z","2026-01-08T23:48:20.264Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Street Crane","SC Series","SC","125-5000 kg","4-12 m/min","0.18-0.25 kW (estimated)","d8","https://www.streetcrane.co.uk","known-data",0.9,"street-crane-sc-series","2026-01-15T22:46:20.656Z",,,"","","2026-01-15T22:46:20.656Z","2026-01-08T23:48:35.118Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Street Crane","Profi","Profi","250-2000 kg","6-16 m/min","0.25-0.37 kW (estimated)","d8+","https://www.streetcrane.co.uk","known-data",0.9,"street-crane-profi","2026-01-15T22:46:20.656Z",,,"","","2026-01-15T22:46:20.656Z","2026-01-08T23:48:35.118Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SWF Krantechnik","Nova","Nova","125-5000 kg","4-20 m/min","0.18-0.25 kW (estimated)","d8","https://www.swf.de","known-data",0.9,"swf-nova","2026-01-19T10:56:44.060Z",,,"","","2026-01-19T10:56:44.060Z","2026-01-08T23:49:48.414Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SWF Krantechnik","SK Series","SK","250-2500 kg","4-12 m/min","0.25-0.37 kW (estimated)","d8","https://www.swf.de","known-data",0.9,"swf-sk-series","2026-01-19T10:56:44.060Z",,,"","","2026-01-19T10:56:44.060Z","2026-01-08T23:49:48.414Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JDN Monocrane","Air Hoist Profi","Profi","125-50000 kg","1-12 m/min","0.18-0.25 kW (estimated)","atex","https://www.jdn.de","known-data",0.9,"jdn-air-hoist-profi","2026-01-19T10:56:54.642Z",,,"","","2026-01-19T10:56:54.642Z","2026-01-08T23:49:58.947Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JDN Monocrane","Mini","Mini","125-980 kg","6-12 m/min","0.18-0.25 kW (estimated)","atex","https://www.jdn.de","known-data",0.9,"jdn-mini","2026-01-19T10:56:54.642Z",,,"","","2026-01-19T10:56:54.642Z","2026-01-08T23:49:58.947Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elephant Lifting Products","FA Series","FA","250-5000 kg","4-12 m/min","0.25-0.37 kW (estimated)","d8","https://www.elephantlifting.co.uk","known-data",0.9,"elephant-fa-series","2026-01-19T10:57:04.712Z",,,"","","2026-01-19T10:57:04.712Z","2026-01-08T23:50:09.392Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elephant Lifting Products","FB Series","FB","500-10000 kg","2-8 m/min","0.37-0.75 kW (estimated)","d8","https://www.elephantlifting.co.uk","known-data",0.9,"elephant-fb-series","2026-01-19T10:57:04.712Z",,,"","","2026-01-19T10:57:04.712Z","2026-01-08T23:50:09.392Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LiftingSafety","LS Electric Hoist","LS","250-5000 kg","4-12 m/min","0.25-0.37 kW (estimated)","d8","https://www.liftingsafety.co.uk","known-data",0.9,"liftingsafety-ls-electric-hoist","2026-01-19T10:57:43.378Z",,,"","","2026-01-19T10:57:43.378Z","2026-01-08T23:50:20.869Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tiger Lifting","ROV","ROV","250-5000 kg","4-12 m/min","0.25-0.37 kW (estimated)","d8+","https://www.tigerlifting.com","known-data",0.9,"tiger-rov","2026-01-19T10:58:12.030Z",,,"","","2026-01-19T10:58:12.030Z","2026-01-08T23:50:43.114Z",,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,
"Tiger Lifting","BCH","BCH","500-10000 kg","2-8 m/min","0.37-0.75 kW (estimated)","d8","https://www.tigerlifting.com","known-data",0.9,"tiger-bch","2026-01-19T10:58:12.030Z",,,"","","2026-01-19T10:58:12.030Z","2026-01-08T23:50:43.114Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nitchi","MH-5","MH","250-5000 kg","4-12 m/min","0.25-0.37 kW (estimated)","jis","https://www.nitchi.co.jp","known-data",0.9,"nitchi-mh-5","2026-01-19T10:59:29.321Z",,,"","","2026-01-19T10:59:29.321Z","2026-01-08T23:51:52.044Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nitchi","EC-4","EC","500-10000 kg","2-8 m/min","0.37-0.75 kW (estimated)","jis","https://www.nitchi.co.jp","known-data",0.9,"nitchi-ec-4","2026-01-19T10:59:29.321Z",,,"","","2026-01-19T10:59:29.321Z","2026-01-08T23:51:52.044Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TXK","TXK-A","A","250-10000 kg","3-12 m/min","0.25-0.37 kW (estimated)","ce","https://www.txkhoists.com","known-data",0.9,"txk-txk-a","2026-01-19T10:59:39.415Z",,,"","","2026-01-19T10:59:39.415Z","2026-01-08T23:52:02.221Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TXK","TXK-B","B","500-20000 kg","2-8 m/min","0.37-0.75 kW (estimated)","ce","https://www.txkhoists.com","known-data",0.9,"txk-txk-b","2026-01-19T10:59:39.415Z",,,"","","2026-01-19T10:59:39.415Z","2026-01-08T23:52:02.221Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
